GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Contributors,Age
advboxes/AdvBox,N,907,370,10255,Organized into projects where each project source code have been organised into different modules in a way that shows the relationship between different files.,https://github.com/advboxes/AdvBox/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented but there are tutorials py files,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/advboxes/AdvBox/issues/43 and https://github.com/advboxes/AdvBox/issues/17",https://github.com/advboxes/AdvBox/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,12,1867
GoogleCloudPlatform/tensorflow-without-a-phd,N,2161,436,9902,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/GoogleCloudPlatform/tensorflow-without-a-phd/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,Do answer questions but not often,https://github.com/GoogleCloudPlatform/tensorflow-without-a-phd/blob/master/LICENSE is provided.,Can't find test files,11,1960
kubeflow/examples,N,804,425,14024,The source code of the project exists as ad-hoc scripts.,https://github.com/kubeflow/examples/graphs/contributors shows that there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/kubeflow/examples/blob/master/object_detection/serving_script/standard_fields.py and https://github.com/kubeflow/examples/blob/master/code_search/src/code_search/nmslib/search_engine.py and https://github.com/kubeflow/examples/blob/master/mnist/model.py have appropriate docstrings",https://github.com/kubeflow/examples/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/kubeflow/examples/issues/806 and https://github.com/kubeflow/examples/issues/798",https://github.com/kubeflow/examples/blob/master/LICENSE,There are many files related to testing,90,2057
lukas/ml-class,N,1532,612,10852,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/lukas/ml-class/graphs/contributors shows that there are multiple contributors.,CI is not used on the project,There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/lukas/ml-class/graphs/commit-activity shows there has been activities in the past without no activities in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/lukas/ml-class/issues/48 and https://github.com/lukas/ml-class/issues/40",No license,there is no evidence of any testing done on the project.,14,2942
microsoft/ai-edu,N,7874,506,25848,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/ai-edu/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/ai-edu/graphs/commit-activity shows that there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/ai-edu/issues/501 and https://github.com/microsoft/ai-edu/issues/487",https://github.com/microsoft/ai-edu/blob/master/LICENSE.md,there is no evidence of any testing done on the project.,57,1770
opencv/open_model_zoo,N,2039,2503,62396,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/opencv/open_model_zoo/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/opencv/open_model_zoo/graphs/commit-activity shows that there have been significant amount of activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/opencv/open_model_zoo/issues/1292 and https://github.com/opencv/open_model_zoo/issues/1275",https://github.com/opencv/open_model_zoo/blob/master/LICENSE,there is no evidence of any testing done on the project.,151,1802
OUCMachineLearning/OUCML,N,2878,322,11672,Organized into projects where each project source code exists as ad-hoc scripts.,https://github.com/OUCMachineLearning/OUCML/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity in recent months,The maintainers of the project does not reply to issues or close them.,There are multiple license files as there are multiple projects for this,There are files related to testing but not much,6,1759
PacktPublishing/Deep-Reinforcement-Learning-Hands-On,N,1485,1183,11128,Organized into projects where each project source code exists as ad-hoc scripts.,https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/issues/79 and https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/issues/62",https://github.com/PacktPublishing/Deep-Reinforcement-Learning-Hands-On/blob/master/LICENSE is provided.,There are test files for some of the projects,10,2015
pytorch/tutorials,N,3944,1248,10774,Its a collection of projects/tutorials,Multiple contributors: https://github.com/pytorch/tutorials/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/pytorch/tutorials/blob/master/LICENSE,There is no evidence of any testing done on the project.,427,2547
snap-stanford/ogb,N,400,315,11324,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,1-3 active contributers out of 7,X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",1 open <<< 32 closed,License provided,X Doesn't seem to have unit test,25,1399
spmallick/learnopencv,N,10891,917,31821,"Many folders, each have a few files inside",4 active contributors our of 17,X CI is not used on the project.,Documentation provided mostly in links,"Recent, Commit activity not negligible",146 open >> 43 closed,License provided,X Doesn't seem to have unit test,71,3139
tensorflow/examples,N,3396,1221,39962,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,"1 has significantly more commits than others, but 177 contributers",X CI is not used on the project.,Documentation provided,"Recent, Commit activity not negligible",46 open < 180 closed,License provided,X Doesn't seem to have unit test,259,1893
tensorflow/models,N,64439,4914,234008,Organised but not in modules,"100 contributers, most significant",X CI is not used on the project.,X Most of the functions in the source code are not documented.,"Recent, Commit activity not negligible",820 open << 4647 closed,License provided,Few tests https://github.com/tensorflow/models/tree/master/official/utils/testing/scripts,365,2786
